yearlink;year;municipality;link;ingeschreven;neergelegd;blanco_ongeldig
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Blegny;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=775&party_id=;9086;8411;449
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Bleyberg;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=806&party_id=;5864;5441;441
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Bocholt;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1072&party_id=;8574;8304;352
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Boechout;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=430&party_id=;9037;8327;261
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Bonheiden;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=459&party_id=;11040;10194;343
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Boom;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=431&party_id=;11523;10560;338
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Boortmeerbeek;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=985&party_id=;8856;8218;409
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Borgloon;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1087&party_id=;8192;7889;284
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Bornem;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=460&party_id=;15580;14530;365
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Borsbeek;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=432&party_id=;7953;7283;231
